workload,D,variant,R,S,A,L,U,M,B,incomingPointerWrites,outgoingPointerWrites,endpointPointerWrites,W,Delta,SearchAmp,MutationAmp,stableEligible,stableRetained,meanNs,medianNs,p75Ns,p95Ns,p99BatchNs,variance,rme95Percent,opsPerSecond,wallTimeMs,batchIterations
stable,0,move,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,34.72536722819011,34.57527160644546,34.80138778686522,38.5358619689941,38.84059524536129,3.8257438815586275,3.1195558549676163,28797391.64250503,273.0914000000001,524288
stable,0,rotate,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,34.772783915201835,34.4629287719726,35.114574432373075,37.294387817382706,38.30909729003907,1.9824881220257866,2.2425777152151127,28758123.089558665,273.4643000000001,524288
stable,1,move,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,51.99929555257161,45.804405212402244,61.74039840698234,80.64924240112312,82.20879745483408,285.97720126639507,18.01150125190924,19231029.75479723,408.93909999999994,524288
stable,1,rotate,2,0,0,0,0,0,0,3,0,0,3,0,0,0,2,2,58.926366170247356,59.05876159667945,68.57242584228507,91.96565628051756,98.58829116821285,431.71469843981004,19.52856917467902,16970332.043059397,463.4157999999997,524288
stable,16,move,17,0,0,0,0,0,0,18,0,0,18,0,0,0,17,17,133.5103352864584,130.46035766601508,133.19358825683602,173.54248046874986,184.4210205078126,456.75490215043453,8.865605229865317,7490056.839827496,262.49200000000013,131072
stable,16,rotate,17,0,0,0,0,0,0,18,0,0,18,0,0,0,17,17,129.50541178385416,124.96109008789097,138.9308929443361,158.24638366699224,159.02781677246108,246.77257799166816,6.718034022258585,7721685.03405101,254.61799999999997,131072
stable,31,move,32,0,0,0,0,0,0,33,0,0,33,0,0,0,32,32,241.08286539713558,222.38311767578193,264.2837524414062,368.0412292480474,396.50009155273517,4098.903622433926,14.70784945040879,4147951.3625022704,236.99410000000015,65536
stable,31,rotate,32,0,0,0,0,0,0,33,0,0,33,0,0,0,32,32,248.9788818359375,239.87579345703148,256.24008178710926,358.05282592773415,399.6110534667961,3911.533087691539,13.91209898264017,4016404.8959740344,244.7562,65536
stable,32,move,33,0,0,0,0,0,0,34,0,0,34,0,0,0,33,33,215.08666992187483,194.75402832031148,225.43945312500023,295.8244323730461,355.2928161621086,2554.5047131100814,13.014321330377182,4649288.588470994,211.43879999999982,65536
stable,32,rotate,33,0,0,0,0,0,0,34,0,0,34,0,0,0,33,33,227.8298950195311,211.41204833984364,247.04132080078085,330.08773803710983,348.2209167480473,3072.105399931684,13.473766376718826,4389239.611923068,223.96589999999986,65536
stable,33,move,34,0,0,0,0,0,0,35,0,0,35,0,0,0,34,34,195.86847941080745,195.38497924804665,200.82778930664085,218.32031249999991,228.6921386718746,173.25544159947665,3.7218644929247002,5105466.704025594,385.0931000000003,131072
stable,33,rotate,34,0,0,0,0,0,0,35,0,0,35,0,0,0,34,34,199.79624430338546,190.49606323242196,202.39715576171906,247.60078430175795,264.4774322509768,591.0822678013704,6.739354665809019,5005099.087255742,392.8154000000001,131072
stable,64,move,65,0,0,0,0,0,0,66,0,0,66,0,0,0,65,65,351.4739990234376,315.15045166015733,334.6282958984377,558.7225341796876,567.718627929687,7454.9817752891295,13.605413868139085,2845160.6741280346,345.51300000000015,65536
stable,64,rotate,65,0,0,0,0,0,0,66,0,0,66,0,0,0,65,65,314.07185872395837,311.91101074218733,316.70684814453153,324.82315063476665,333.63040161132886,49.37074275776325,1.239046121942745,3183984.7226774697,308.74520000000007,65536
stable,256,move,257,0,0,0,0,0,0,258,0,0,258,0,0,0,257,257,1396.032714843749,1375.292968750011,1473.803710937499,1731.2976074218761,1817.6560058593734,36789.078648601826,7.609314372341252,716315.5915811937,171.54449999999989,8192
stable,256,rotate,257,0,0,0,0,0,0,258,0,0,258,0,0,0,257,257,1754.3359374999995,1340.9301757812477,1455.9753417968807,4175.153808593746,6103.99560546875,2039404.6857782786,45.08381026892972,570016.2543697536,215.57279999999994,8192
stable,1024,move,1025,0,0,0,0,0,0,1026,0,0,1026,0,0,0,1025,1025,7061.295572916663,6577.441406249995,7783.56933593749,8278.247070312502,8515.454101562505,627825.0444503109,6.214648848681741,141617.0714954155,216.92299999999992,2048
stable,1024,rotate,1025,0,0,0,0,0,0,1026,0,0,1026,0,0,0,1025,1025,6088.645833333335,5333.251953125006,7576.318359375015,8839.438476562484,10241.0517578125,3472085.05864369,16.949470380614027,164240.13276077394,187.04320000000007,2048
stable,4096,move,4097,0,0,0,0,0,0,4098,0,0,4098,0,0,0,4097,4097,29424.921874999993,28754.492187500036,31122.753906250022,33387.50976562499,33514.767578125124,6303819.978169101,4.725722869140214,33984.7971134163,451.96679999999986,1024
stable,4096,rotate,4097,0,0,0,0,0,0,4098,0,0,4098,0,0,0,4097,4097,28351.158854166664,27968.066406249825,28996.630859375036,31242.021484375004,32103.951171875004,3290130.320776038,3.5433773265281436,35271.92680707772,435.4737999999999,1024
alternating,0,move,2,6,1,1,1,0,0,11,8,2,21,2,2,0.6666666666666666,1,1,80.12692769368492,78.78456115722673,80.57937622070314,97.2602844238281,97.91183471679686,62.75158062566104,5.475395703814056,12480198.964109458,315.07190000000014,262144
alternating,0,rotate,2,6,1,1,1,0,0,11,8,2,21,2,2,0.6666666666666666,1,1,77.19538370768231,73.78196716308604,76.65309906005854,96.34838104248047,100.11775970458984,105.28451699619362,7.361606362747976,12954142.488451447,303.54460000000006,262144
alternating,1,move,3,10,1,1,1,1,0,18,8,2,28,2,3.3333333333333335,1,2,2,97.51571655273435,96.12121582031237,98.16932678222665,122.51388549804672,123.69223022460925,124.72032670796295,6.342721909174029,10254757.236585777,191.72369999999995,131072
alternating,1,rotate,3,10,1,1,1,0,1,18,8,2,28,2,3.3333333333333335,0.6666666666666666,2,2,92.57441202799478,91.09115600585989,97.4567413330081,104.98779296874997,105.33044433593756,52.532795722419905,4.336166617040836,10802120.997512758,182.00869999999998,131072
alternating,16,move,18,41,1,1,1,16,0,123,8,2,133,2,13.666666666666666,6,17,17,347.472635904948,336.0855102539067,351.95922851562545,397.8575134277343,401.74801635742176,605.281124978014,3.9213862686776735,2877924.4656075668,341.57950000000005,65536
alternating,16,rotate,18,11,1,1,1,0,1,33,8,2,43,2,3.6666666666666665,0.6666666666666666,17,17,192.9418945312503,187.69073486328125,200.481414794923,213.8056945800785,222.03359985351545,148.53074674361568,3.498350429857438,5182907.540270019,189.6696000000003,65536
alternating,31,move,33,71,1,1,1,31,0,228,8,2,238,2,23.666666666666668,11,32,32,574.9580891927083,565.6860351562487,579.849243164062,614.8733520507815,638.4214477539067,577.6038466110148,2.315050754845992,1739257.206388883,282.60339999999997,32768
alternating,31,rotate,33,11,1,1,1,0,1,48,8,2,58,2,3.6666666666666665,0.6666666666666666,32,32,293.8407389322918,290.04821777343926,302.9586791992184,322.1908569335931,334.2477416992187,295.8477933314536,3.241931443539837,3403204.0745392516,144.42860000000005,32768
alternating,32,move,34,73,1,1,1,32,0,235,8,2,245,2,24.333333333333332,11.333333333333334,33,33,610.8150227864581,588.2598876953138,624.192810058594,687.4072265624999,731.5024414062498,2279.034658556876,4.328599670484204,1637156.852230207,300.2277999999999,32768
