workload,D,variant,linksTraversed,edgeAllocations,edgeLinks,edgeUnlinks,edgeMoves,callbackDependencyReads,stableEdgesEligible,stableEdgesRetained,dependencyDelta,physicalMutations,totalAmplification,mutationAmplification,mean,median,p75,p95,p99,variance,rme95Percent,opsPerSecond,batchIterations,wallTimeMs
stable,0,before,1,0,0,0,0,1,1,1,0,0,1,0,25.088933308919263,24.890232086181612,25.922107696533196,27.18504905700685,27.703779220581094,1.5408677711440293,2.740199329300874,39858211.09598526,1048576,394.61479999999983
stable,0,after,1,0,0,0,0,1,1,1,0,0,1,0,25.225461324056003,25.408172607421882,25.987672805786094,26.616830825805675,26.94415473937988,1.0545283941956456,2.2546113482913324,39642486.10376692,1048576,396.7622000000002
stable,1,before,2,0,0,0,0,2,2,2,0,0,2,0,32.807210286458336,32.75527954101564,33.218908309936495,37.744579315185554,37.751094818115305,5.145400892832284,3.829322763333979,30481104.344698425,1048576,516.0128000000001
stable,1,after,2,0,0,0,0,2,2,2,0,0,2,0,33.01602681477863,32.8574180603027,33.496189117431726,35.70432662963862,37.74442672729484,3.151652252546114,2.9780089902981652,30288320.445401996,1048576,519.2971999999997
stable,16,before,17,0,0,0,0,17,17,17,0,0,17,0,93.70887756347658,92.41485595703125,96.65546417236327,98.14369201660146,98.3949127197263,9.74262333225553,1.8447558114119382,10671347.539325923,262144,368.4783000000001
stable,16,after,17,0,0,0,0,17,17,17,0,0,17,0,97.36661275227857,96.55609130859375,100.59700012207011,105.05653381347669,107.7221221923829,25.32458894226436,2.8624822848631473,10270461.010533594,262144,382.86109999999974
stable,31,before,32,0,0,0,0,32,32,32,0,0,32,0,151.38341267903658,150.6313323974607,157.16342926025374,160.17089843750037,162.3387451171877,45.39610954955098,2.4649759890987966,6605743.537571068,262144,595.2638000000005
stable,31,after,32,0,0,0,0,32,32,32,0,0,32,0,152.28014628092447,154.71229553222673,157.40776062011707,161.64012908935553,162.07442474365243,53.491854912690535,2.6600035158547666,6566844.230338555,262144,598.7899000000001
stable,32,before,33,0,0,0,0,33,33,33,0,0,33,0,149.82602437337243,148.3829498291015,151.70459747314453,161.27109527587876,165.13233184814464,49.476619969243636,2.600126171718596,6674407.895306359,262144,589.1399
stable,32,after,33,0,0,0,0,33,33,33,0,0,33,0,151.1950937906902,148.59390258789054,155.41191101074236,160.45364379882815,160.45620727539074,31.209533124984375,2.0463862272445783,6613971.227031804,262144,594.5233000000004
stable,33,before,34,0,0,0,0,34,34,34,0,0,34,0,156.93280537923167,156.1614990234373,161.23657226562477,163.9414978027344,164.53024291992202,29.37023489392359,1.9125889334017376,6372153.977515902,262144,617.0848999999995
stable,33,after,34,0,0,0,0,34,34,34,0,0,34,0,155.20629882812503,154.90036010742168,159.92946624755885,164.43725585937497,166.72686767578082,43.54741062603013,2.3547971024295107,6443037.4768964555,262144,610.2960000000002
stable,64,before,65,0,0,0,0,65,65,65,0,0,65,0,265.10320027669286,264.36157226562494,273.7155914306643,277.9102325439453,278.94630432128906,99.49654951647472,2.083870403011951,3772115.911676217,131072,521.2141000000003
stable,64,after,65,0,0,0,0,65,65,65,0,0,65,0,265.92773437499994,266.4596557617194,270.5829620361327,278.405151367187,280.1970214843745,68.40806663967363,1.722549424097878,3760420.1094341017,131072,522.8352
stable,256,before,257,0,0,0,0,257,257,257,0,0,257,0,922.9970296223948,912.9364013671856,941.879272460937,1001.789550781248,1007.6308593749995,1654.9356383759675,2.4410232604335036,1083427.1052953526,32768,453.6714999999995
stable,256,after,257,0,0,0,0,257,257,257,0,0,257,0,915.665893554688,912.2314453124999,952.072143554689,968.2070922851581,968.2874145507824,1366.0005610436472,2.2354762891599504,1092101.395322174,32768,450.0681000000002
stable,1024,before,1025,0,0,0,0,1025,1025,1025,0,0,1025,0,5056.40218098958,5051.586914062503,5268.334960937503,5456.17553710936,5487.84643554686,68824.42744431025,2.873501052798512,197769.0785277471,8192,621.3306999999996
